SpeciesCode,HUCID
IsotriaMedeoloides,0202000607
IsotriaMedeoloides,0202000609
IsotriaMedeoloides,0202000611
IsotriaMedeoloides,0202000703
IsotriaMedeoloides,0202000704
IsotriaMedeoloides,0202000705
IsotriaMedeoloides,0202000706
IsotriaMedeoloides,0202000801
IsotriaMedeoloides,0202000804
IsotriaMedeoloides,0202000805
IsotriaMedeoloides,0203010101
IsotriaMedeoloides,0203020101
IsotriaMedeoloides,0203020102
IsotriaMedeoloides,0203020103
IsotriaMedeoloides,0203020104
IsotriaMedeoloides,0203020201
IsotriaMedeoloides,0203020202
IsotriaMedeoloides,0203020203
IsotriaMedeoloides,0203020204
IsotriaMedeoloides,0203020205
IsotriaMedeoloides,0203020206
IsotriaMedeoloides,0203020207
IsotriaMedeoloides,0203020208
IsotriaMedeoloides,0203020209
IsotriaMedeoloides,0204010201
IsotriaMedeoloides,0204010202
IsotriaMedeoloides,0204010203
IsotriaMedeoloides,0204010204
IsotriaMedeoloides,0204010401
IsotriaMedeoloides,0204010402
IsotriaMedeoloides,0205010201
IsotriaMedeoloides,0205010202
IsotriaMedeoloides,0204020400
IsotriaMedeoloides,0204020504
IsotriaMedeoloides,0414020113
IsotriaMedeoloides,0414020115
IsotriaMedeoloides,0414020116
IsotriaMedeoloides,0414020206
IsotriaMedeoloides,0414020207
IsotriaMedeoloides,0414020208
IsotriaMedeoloides,0414020209
IsotriaMedeoloides,0414020301
IsotriaMedeoloides,0204010305
IsotriaMedeoloides,0204010406
IsotriaMedeoloides,0204010408
IsotriaMedeoloides,0204010409
IsotriaMedeoloides,0204010503
IsotriaMedeoloides,0204010601
IsotriaMedeoloides,0204010602
IsotriaMedeoloides,0204010603
IsotriaMedeoloides,0204010604
IsotriaMedeoloides,0204010605
IsotriaMedeoloides,0204010607
IsotriaMedeoloides,0204010608
IsotriaMedeoloides,0204020102
IsotriaMedeoloides,0204020103
IsotriaMedeoloides,0204020301
IsotriaMedeoloides,0204020302
IsotriaMedeoloides,0204020303
IsotriaMedeoloides,0204020304
IsotriaMedeoloides,0204020305
IsotriaMedeoloides,0204020306
IsotriaMedeoloides,0204020307
IsotriaMedeoloides,0204020308
IsotriaMedeoloides,0204020309
IsotriaMedeoloides,0204020310
IsotriaMedeoloides,0204020501
IsotriaMedeoloides,0204020502
IsotriaMedeoloides,0205020105
IsotriaMedeoloides,0205020107
IsotriaMedeoloides,0415040101
IsotriaMedeoloides,0415040801
IsotriaMedeoloides,0415040802
IsotriaMedeoloides,0415040806
IsotriaMedeoloides,0415040816
IsotriaMedeoloides,0110000505
IsotriaMedeoloides,0203010102
IsotriaMedeoloides,0203010201
IsotriaMedeoloides,0203010104
IsotriaMedeoloides,0202000301
IsotriaMedeoloides,0202000309
IsotriaMedeoloides,0205020401
IsotriaMedeoloides,0205020402
IsotriaMedeoloides,0205020403
IsotriaMedeoloides,0205020404
IsotriaMedeoloides,0205020610
IsotriaMedeoloides,0205020612
IsotriaMedeoloides,0205030102
IsotriaMedeoloides,0205030104
IsotriaMedeoloides,0205030204
IsotriaMedeoloides,0205030205
