ELEMENT_GLOBAL_ID,Scientific Name,Common Name,Taxonomic Group
157615,YeahNOOOAgalinis decemloba,Agalinis decemloba,Flowering Plants
157709,Eriogonum pelinophilum,Eriogonum pelinophilum,Flowering Plants
150983,Erysimum menziesii,Erysimum menziesii,Flowering Plants
155689,Iliamna corei,Iliamna corei,Flowering Plants
902294,Ipomopsis polyantha,Ipomopsis polyantha,Flowering Plants
128014,Marshallia legrandii,Marshallia legrandii,Flowering Plants
872185,Monardella viminea,Monardella viminea,Flowering Plants
835361,Potentilla rhyolitica,Potentilla rhyolitica,Flowering Plants
777927,Sphaeralcea gierischii,Sphaeralcea gierischii,Flowering Plants
138821,Abies bracteata,Bristlecone Fir,Conifers and relatives
128167,Abies fraseri,Fraser Fir,Conifers and relatives
161494,Cupressus abramsiana,Santa Cruz Island Cypress,Conifers and relatives
131138,Cupressus forbesii,Tecate Cypress,Conifers and relatives
128986,Cupressus macrocarpa,Monterey Cypress,Conifers and relatives
141624,Ephedra funerea,Death Valley Mormon-tea,Conifers and relatives
128475,Pinus albicaulis,Whitebark Pine,Conifers and relatives
147411,Pinus radiata,Monterey Pine,Conifers and relatives
155628,Taxus floridana,Florida Yew,Conifers and relatives
137133,Torreya taxifolia,Florida Torreya,Conifers and relatives
135908,Anemia wrightii,Wright's Flowering Fern,Ferns and relatives
128561,Asplenium tutwilerae,Asplenium tutwilerae,Ferns and relatives
149453,Asplenium x heteroresiliens,Wagner's Spleenwort,Ferns and relatives
152828,Botrychium acuminatum,Pointed Moonwort,Ferns and relatives
146565,Botrychium gallicomontanum,Frenchman's Bluff Moonwort,Ferns and relatives
132153,Hymenophyllum tayloriae,Taylor's Filmy Fern,Ferns and relatives
138575,Isoetes boomii,Boom's Quillwort,Ferns and relatives
147368,Isoetes georgiana,Georgia Quillwort,Ferns and relatives
147799,Isoetes hyemalis,Winter Quillwort,Ferns and relatives
147798,Isoetes lithophila,Rock Quillwort,Ferns and relatives
147932,Isoetes louisianensis,Louisiana Quillwort,Ferns and relatives
159181,Isoetes melanospora,Black-spored Quillwort,Ferns and relatives
137971,Isoetes microvela,Thin-wall Quillwort,Ferns and relatives
146303,Isoetes prototypus,Spike Quillwort,Ferns and relatives
