ELEMENT_GLOBAL_ID,cutecode,Scientific Name,Common Name,Taxonomic Group
157615,agaldece,Agalinis decemloba,Agalinis decemloba,Flowering Plants
157709,eriopeli,Eriogonum pelinophilum,Eriogonum pelinophilum,Flowering Plants
150983,erysmenz,Erysimum menziesii,Erysimum menziesii,Flowering Plants
155689,iliacore,Iliamna corei,Iliamna corei,Flowering Plants
902294,ipompoly,Ipomopsis polyantha,Ipomopsis polyantha,Flowering Plants
128014,marslegr,Marshallia legrandii,Marshallia legrandii,Flowering Plants
872185,monavimi,Monardella viminea,Monardella viminea,Flowering Plants
835361,poterhyo,Potentilla rhyolitica,Potentilla rhyolitica,Flowering Plants
777927,sphagier,Sphaeralcea gierischii,Sphaeralcea gierischii,Flowering Plants
138821,abiebrac,Abies bracteata,Bristlecone Fir,Conifers and relatives
128167,abiefras,Abies fraseri,Fraser Fir,Conifers and relatives
161494,cuprabra,Cupressus abramsiana,Santa Cruz Island Cypress,Conifers and relatives
131138,cuprforb,Cupressus forbesii,Tecate Cypress,Conifers and relatives
128986,cuprmacr,Cupressus macrocarpa,Monterey Cypress,Conifers and relatives
141624,ephefune,Ephedra funerea,Death Valley Mormon-tea,Conifers and relatives
128475,pinualbi,Pinus albicaulis,Whitebark Pine,Conifers and relatives
147411,pinuradi,Pinus radiata,Monterey Pine,Conifers and relatives
155628,taxuflor,Taxus floridana,Florida Yew,Conifers and relatives
137133,torrtaxi,Torreya taxifolia,Florida Torreya,Conifers and relatives
135908,anemwrig,Anemia wrightii,Wright's Flowering Fern,Ferns and relatives
128561,aspltutw,Asplenium tutwilerae,Asplenium tutwilerae,Ferns and relatives
149453,asplhete,Asplenium x heteroresiliens,Wagner's Spleenwort,Ferns and relatives
152828,botracum,Botrychium acuminatum,Pointed Moonwort,Ferns and relatives
146565,botrgall,Botrychium gallicomontanum,Frenchman's Bluff Moonwort,Ferns and relatives
132153,hymetayl,Hymenophyllum tayloriae,Taylor's Filmy Fern,Ferns and relatives
138575,isoeboom,Isoetes boomii,Boom's Quillwort,Ferns and relatives
147368,isoegeor,Isoetes georgiana,Georgia Quillwort,Ferns and relatives
147799,isoehyem,Isoetes hyemalis,Winter Quillwort,Ferns and relatives
147798,isoelith,Isoetes lithophila,Rock Quillwort,Ferns and relatives
147932,isoeloui,Isoetes louisianensis,Louisiana Quillwort,Ferns and relatives
159181,isoemela,Isoetes melanospora,Black-spored Quillwort,Ferns and relatives
137971,isoemicr,Isoetes microvela,Thin-wall Quillwort,Ferns and relatives
146303,isoeprot,Isoetes prototypus,Spike Quillwort,Ferns and relatives
139444,isoetege,Isoetes tegetiformans,Merlin's-grass,Ferns and relatives
732260,isoetenn,Isoetes tennesseensis,Isoetes tennesseensis,Ferns and relatives
134040,isoevirg,Isoetes virginica,Virginia Quillwort,Ferns and relatives
897920,isoeviri,Isoetes viridimontana,Vermont quillwort,Ferns and relatives
141354,lycomarg,Lycopodiella margueritiae,Northern Prostrate Clubmoss,Ferns and relatives
149904,lycosuba,Lycopodiella subappressa,Northern Appressed Clubmoss,Ferns and relatives
155184,selaeato,Selaginella eatonii,Eaton's Spikemoss,Ferns and relatives
156468,selaviri,Selaginella viridissima,Green Spikemoss,Ferns and relatives
134469,abroalpi,Abronia alpina,Ramshaw Meadows Abronia,Flowering Plants
155919,abroammo,Abronia ammophila,Tweedy's Sand-verbena,Flowering Plants
154040,abrobige,Abronia bigelovii,Galisteo Sand-verbena,Flowering Plants
159233,abromacr,Abronia macrocarpa,Large-fruit Sand-verbena,Flowering Plants
135577,acandutt,Acanthomintha duttonii,San Mateo Thornmint,Flowering Plants
151284,acanilic,Acanthomintha ilicifolia,San Diego Thornmint,Flowering Plants
153190,achnwall,Achnatherum wallowaense,Wallowa Ricegrass,Flowering Plants
144453,aclecras,Acleisanthes crassifolia,Texas Trumpets,Flowering Plants
160854,aclewrig,Acleisanthes wrightii,Wright's Trumpets,Flowering Plants
149181,aconnove,Aconitum noveboracense,Northern Wild Monkshood,Flowering Plants
136364,actaariz,Actaea arizonica,Arizona Bugbane,Flowering Plants
128741,adenwrig,Adenophyllum wrightii,Wright's Dogweed,Flowering Plants
159058,aescvirg,Aeschynomene virginica,Sensitive Joint-vetch,Flowering Plants
137626,agalcaly,Agalinis calycina,Leoncita False Foxglove,Flowering Plants
136667,agalnava,Agalinis navasotensis,Navasota False Foxglove,Flowering Plants
144129,agavdela,Agave delamateri,Tonto Basin Agave,Flowering Plants
129508,agavmurp,Agave murpheyi,Murphey Agave,Flowering Plants
143512,agavphil,Agave phillipsiana,Agave phillipsiana,Flowering Plants
145119,agavshaw,Agave shawii,Shaw's Agave,Flowering Plants
